age0to19,age20to39,age40to59,age60to79,age80over,house
1196,1657,2141,2673,896,4120
1595,2121,2393,1895,469,3798
1111,1525,2171,1851,495,3202
1390,1461,1875,1705,416,2778
979,1916,1482,1113,342,3046
1000,993,1456,1462,446,2180
837,1645,1123,1390,357,2751
925,1193,1532,1273,313,2258
755,980,1288,1344,391,1998
675,982,1207,1140,278,1954
638,832,1051,1253,312,1653
631,726,1063,1190,342,1709
652,676,984,1065,309,1397
786,822,1139,700,188,1511
633,842,1028,833,298,1625
654,892,1025,821,205,1597
676,715,1007,894,234,1380
559,704,1010,988,247,1525
685,576,887,1049,247,1289
612,664,958,823,341,1424
553,707,816,978,227,1572
482,714,867,868,342,1625
582,691,973,773,222,1353
584,777,914,717,160,1384
531,636,819,772,253,1211
447,718,703,787,194,1225
413,575,725,771,219,1216
535,650,699,629,139,1147
385,511,623,854,256,1159
535,640,828,464,158,1158
471,563,656,634,247,1129
460,584,704,642,148,1039
483,530,622,749,145,1017
452,653,677,554,154,1033
411,555,757,601,159,1051
486,499,680,615,170,962
431,470,629,711,207,993
498,666,694,439,135,1081
448,585,625,620,140,1045
386,624,638,621,148,1033
500,529,608,462,193,939
343,373,603,764,200,919
390,606,567,524,128,955
513,514,562,502,106,810
370,391,556,648,210,834
447,587,555,468,117,884
407,437,640,435,246,920
423,395,679,470,197,902
204,252,473,967,267,1293
335,570,606,469,115,1006
406,408,625,468,165,850
440,593,668,292,74,967
281,309,505,690,240,858
383,453,556,517,105,831
339,413,573,530,148,833
302,428,552,479,233,1015
356,409,569,447,206,857
420,404,612,380,168,819
340,400,540,559,131,835
355,483,505,489,135,845
301,395,505,612,125,742
320,476,502,450,168,905
430,358,486,504,105,770
398,414,581,379,110,767
343,488,467,453,112,798
406,354,586,326,172,776
254,265,472,588,258,808
320,407,488,458,122,731
255,435,468,460,169,867
298,357,514,494,124,747
311,443,469,444,86,745
330,347,515,421,139,736
298,369,469,497,95,827
376,442,430,384,83,716
257,459,413,475,86,728
292,548,517,247,86,935
277,340,446,506,117,803
350,423,498,349,62,687
301,311,459,393,215,728
335,381,524,327,104,777
244,422,440,441,122,753
338,302,490,405,128,677
255,307,392,596,109,617
208,287,423,566,151,712
389,414,508,271,42,676
318,325,454,373,125,688
180,239,354,621,201,906
297,313,416,390,177,701
203,401,405,456,125,706
225,290,430,485,157,586
296,319,418,405,148,722
269,336,453,370,153,682
259,331,419,399,168,692
226,302,475,449,118,735
277,294,456,373,161,663
216,237,372,490,236,739
218,272,340,563,137,695
281,342,407,421,77,661
173,430,386,389,142,832
240,314,468,396,97,656
250,294,421,376,172,632
253,345,451,317,142,726
287,331,431,344,111,590
227,335,408,385,142,693
277,350,414,346,90,622
252,323,401,415,82,632
334,504,317,225,93,611
308,312,370,322,140,607
214,351,387,367,133,651
288,301,362,360,140,648
279,307,426,330,101,647
295,312,473,288,75,656
286,301,415,325,108,572
207,253,397,396,179,680
253,308,379,375,109,563
236,305,423,330,130,623
289,437,421,230,42,644
236,257,375,468,81,545
294,246,397,392,71,547
237,294,394,366,102,582
237,296,394,377,85,575
262,261,357,408,101,562
190,240,384,403,170,621
304,352,414,252,51,592
248,341,380,311,90,581
264,301,378,316,111,608
241,247,363,364,152,566
214,300,391,308,139,608
188,189,338,452,167,524
192,305,310,415,107,648
278,265,380,313,87,551
304,292,322,268,136,604
274,286,377,291,93,541
394,364,409,133,20,517
199,209,333,443,135,509
233,303,357,313,111,599
229,310,324,367,82,525
217,267,400,304,119,673
194,286,361,341,120,601
231,265,369,349,86,543
235,277,379,292,106,610
239,282,383,290,91,571
149,204,308,464,160,491
219,260,363,351,85,540
138,318,406,311,103,754
172,296,349,329,127,606
223,299,454,230,64,597
198,198,342,404,117,613
215,233,359,309,143,528
223,286,340,326,82,527
199,265,310,354,120,551
180,217,329,370,151,580
222,283,373,272,97,513
234,235,373,288,113,533
195,208,344,389,105,514
187,321,348,283,99,590
188,234,365,305,140,595
223,252,330,340,84,520
225,212,337,356,99,524
234,280,334,275,101,512
182,249,325,380,84,530
230,287,354,279,55,529
231,297,346,255,74,497
226,262,345,275,93,522
251,247,353,245,104,525
191,209,282,422,95,614
180,288,362,299,70,528
231,235,325,297,108,526
176,269,316,354,80,541
199,212,318,318,145,494
181,157,292,394,165,520
242,317,373,212,44,490
260,242,345,263,68,450
161,197,277,364,175,615
277,284,314,257,41,469
236,286,341,215,94,477
240,213,325,325,69,511
278,245,344,243,61,445
190,269,306,329,72,515
225,322,309,206,103,487
271,282,318,243,48,484
172,297,307,290,93,524
174,213,307,323,141,515
146,242,343,314,112,541
178,216,330,338,95,512
243,287,323,224,79,461
227,292,319,233,83,515
220,255,271,337,67,454
200,259,320,272,97,461
270,234,313,239,92,486
183,230,312,299,123,484
182,246,288,341,89,473
203,194,318,328,99,468
169,184,328,337,123,511
216,308,272,286,59,479
251,266,310,255,59,422
161,231,292,339,118,509
186,243,379,261,71,495
143,252,349,278,118,554
166,250,340,287,94,569
199,199,303,364,70,467
145,159,307,367,149,486
233,243,326,255,67,457
156,224,297,349,96,483
200,194,318,331,78,470
190,191,332,298,108,454
193,251,298,293,81,525
214,244,316,266,71,466
169,244,273,324,96,497
190,192,305,309,108,482
203,232,259,314,96,372
167,194,288,355,96,402
191,224,278,314,93,483
140,176,243,431,109,462
218,228,273,267,112,445
231,264,295,260,44,456
173,185,261,361,111,384
174,220,308,321,67,494
183,200,275,341,91,447
239,277,310,217,44,447
217,300,264,221,79,489
166,254,268,288,99,463
249,256,343,198,28,442
157,166,278,391,76,452
150,394,228,211,82,602
225,270,299,220,45,418
136,193,270,344,111,447
132,190,280,312,136,502
238,254,264,246,48,404
194,230,280,297,48,434
203,254,282,245,65,421
152,213,271,324,85,473
256,209,338,171,69,387
150,166,259,359,106,428
197,181,250,296,101,432
184,185,300,250,105,423
136,161,306,314,105,471
176,222,305,279,39,404
121,172,245,363,117,421
80,163,298,357,118,492
226,198,257,267,65,401
164,209,286,277,77,399
214,230,294,207,64,410
216,159,318,214,97,407
184,233,281,232,73,392
152,222,242,266,119,476
161,226,288,236,88,415
177,213,283,242,82,439
180,188,275,257,91,410
113,180,287,315,96,464
170,213,297,223,86,430
177,158,302,261,87,426
