region,age0to19,age20to39,age40to59,age60to79,age80over,house
1,685,576,887,1049,247,1289
1,553,707,816,978,227,1572
1,535,650,699,629,139,1147
1,535,640,828,464,158,1158
1,471,563,656,634,247,1129
1,460,584,704,642,148,1039
1,500,529,608,462,193,939
1,343,373,603,764,200,919
1,390,606,567,524,128,955
1,513,514,562,502,106,810
1,407,437,640,435,246,920
1,423,395,679,470,197,902
1,204,252,473,967,267,1293
1,406,408,625,468,165,850
1,281,309,505,690,240,858
2,1595,2121,2393,1895,469,3798
2,1111,1525,2171,1851,495,3202
2,979,1916,1482,1113,342,3046
2,1000,993,1456,1462,446,2180
2,837,1645,1123,1390,357,2751
2,925,1193,1532,1273,313,2258
2,675,982,1207,1140,278,1954
2,786,822,1139,700,188,1511
2,633,842,1028,833,298,1625
2,654,892,1025,821,205,1597
2,559,704,1010,988,247,1525
2,482,714,867,868,342,1625
2,582,691,973,773,222,1353
2,584,777,914,717,160,1384
2,385,511,623,854,256,1159
3,1196,1657,2141,2673,896,4120
3,1390,1461,1875,1705,416,2778
3,755,980,1288,1344,391,1998
3,638,832,1051,1253,312,1653
3,631,726,1063,1190,342,1709
3,652,676,984,1065,309,1397
3,676,715,1007,894,234,1380
3,612,664,958,823,341,1424
3,531,636,819,772,253,1211
3,447,718,703,787,194,1225
3,413,575,725,771,219,1216
3,483,530,622,749,145,1017
3,452,653,677,554,154,1033
3,411,555,757,601,159,1051
3,431,470,629,711,207,993
