町コード,区,町名,総数,0-4歳,5-9歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85歳以上,世帯数
21000,葵区,追手町,183,5,2,5,4,3,3,9,15,13,8,8,12,14,24,14,18,19,7,111
21010,葵区,城内町,97,4,5,2,5,4,3,5,4,2,2,11,7,8,8,6,6,5,10,48
21020,葵区,駿府町,150,4,7,5,4,6,2,5,7,17,11,11,9,11,10,16,4,14,7,74
21040,葵区,西草深町,1247,37,47,46,50,58,33,48,78,92,89,65,83,99,109,96,66,55,96,580
21050,葵区,東草深町,590,11,25,33,21,20,20,14,29,39,64,33,38,36,45,40,45,36,41,263
21060,葵区,水落町,806,15,33,36,35,27,24,37,43,60,64,39,52,61,80,57,38,39,66,376
21070,葵区,城東町,1837,39,67,74,74,65,48,60,92,130,127,126,89,133,190,136,129,104,154,808
21080,葵区,緑町,1004,28,67,63,58,32,42,29,56,90,91,69,68,61,74,49,30,39,58,407
21090,葵区,西千代田町,1576,62,76,58,63,76,76,76,103,101,103,93,122,111,123,99,66,64,104,692
21201,葵区,鷹匠一丁目,399,7,8,14,16,13,21,11,20,33,43,30,25,25,39,27,21,19,27,215
21202,葵区,鷹匠二丁目,1307,45,62,43,67,45,69,65,88,110,109,95,86,76,97,71,60,54,65,673
21203,葵区,鷹匠三丁目,851,25,24,31,26,44,45,60,60,63,69,64,52,46,62,41,54,27,58,460
21210,葵区,東鷹匠町,939,25,38,35,36,49,34,43,36,63,65,65,95,61,71,52,49,40,82,455
21220,葵区,横内町,452,13,15,22,17,39,16,19,18,37,39,32,24,25,26,24,31,27,28,230
21230,葵区,太田町,277,8,6,12,16,17,9,9,19,22,32,20,19,14,17,16,12,17,12,147
21240,葵区,巴町,306,6,9,8,12,20,20,13,11,18,22,24,21,24,30,16,19,12,21,147
21250,葵区,瓦場町,672,34,40,23,26,34,26,36,44,53,56,50,42,31,39,38,35,31,34,279
21260,葵区,春日町,317,9,19,22,12,11,13,19,10,34,27,20,12,21,18,21,14,12,23,138
21261,葵区,春日一丁目,276,7,7,6,12,19,29,23,13,12,23,27,18,12,12,12,16,11,17,152
21262,葵区,春日二丁目,627,16,13,19,9,30,34,31,40,43,32,32,49,45,53,47,48,50,36,359
21263,葵区,春日三丁目,922,28,29,38,43,42,41,37,41,79,87,73,60,68,84,55,40,40,37,459
21270,葵区,音羽町,1232,47,49,41,51,59,62,43,70,85,107,79,94,79,99,63,64,58,82,595
21280,葵区,相生町,550,17,18,25,24,22,29,20,28,49,47,34,32,38,40,37,26,26,38,270
21290,葵区,横田町,590,9,13,18,22,32,27,28,31,38,31,29,40,41,71,46,39,28,47,292
21300,葵区,東町,294,13,24,13,14,19,6,14,26,37,35,20,10,15,13,17,9,7,2,130
21310,葵区,日出町,235,3,8,7,6,12,30,15,11,16,18,13,9,13,16,15,15,12,16,144
21320,葵区,伝馬町,734,22,24,36,19,34,37,38,58,54,70,47,43,43,76,43,40,26,24,378
21330,葵区,栄町,77,0,2,0,0,5,1,8,8,6,8,3,5,8,9,3,3,5,3,56
21340,葵区,御幸町※秘8,166,4,1,6,9,2,3,4,7,9,21,14,16,11,17,10,12,11,9,85
21401,葵区,呉服町一丁目,514,39,34,21,17,10,15,18,44,63,72,33,28,25,25,24,13,14,19,239
21402,葵区,呉服町二丁目,99,2,1,5,3,1,2,4,3,5,6,6,3,11,8,11,13,6,9,53
21411,葵区,両替町一丁目,388,8,10,11,5,9,35,17,27,24,25,21,31,35,40,29,19,14,28,256
21412,葵区,両替町二丁目,57,0,0,0,0,3,2,0,2,1,2,2,6,6,12,4,3,6,8,28
21420,葵区,七間町,654,36,28,11,19,26,33,46,58,48,56,53,55,37,45,25,27,23,28,367
21430,葵区,紺屋町,124,2,4,1,3,6,7,4,6,12,8,4,6,8,15,7,12,6,13,69
21440,葵区,昭和町,174,9,8,2,7,12,11,19,17,12,13,11,7,8,15,9,9,1,4,107
21451,葵区,常磐町一丁目,103,2,5,1,4,2,4,7,3,9,9,11,5,6,9,5,12,3,6,56
21452,葵区,常磐町二丁目,575,16,19,19,26,23,31,35,46,50,39,41,43,36,49,36,20,19,27,334
21453,葵区,常磐町三丁目,355,19,12,5,7,14,17,26,29,29,32,32,24,30,32,14,12,8,13,190
21460,葵区,西門町,239,10,10,9,5,13,15,18,21,19,17,7,14,12,23,21,12,8,5,133
21470,葵区,駿河町,199,8,8,1,8,9,26,20,26,17,13,11,7,11,14,8,1,6,5,125
21481,葵区,人宿町一丁目,177,4,3,2,4,8,13,13,10,15,13,11,11,12,18,13,9,9,9,115
21482,葵区,人宿町二丁目,220,4,5,2,3,9,21,17,17,17,17,14,16,12,22,12,13,9,10,143
21490,葵区,上石町,167,3,6,7,3,9,11,13,8,10,10,6,8,20,14,12,6,6,15,85
21500,葵区,梅屋町,262,2,5,4,12,15,29,15,14,12,20,14,21,16,27,10,12,21,13,149
21601,葵区,駒形通一丁目,560,10,9,16,25,14,33,33,22,56,39,53,40,43,65,31,22,23,26,321
21602,葵区,駒形通二丁目,323,7,5,5,4,20,23,20,15,17,20,11,28,35,44,21,15,19,14,186
21603,葵区,駒形通三丁目,224,11,6,2,3,19,14,18,18,15,14,12,14,15,15,8,14,10,16,127
21604,葵区,駒形通四丁目,741,21,17,18,33,30,43,31,34,52,59,55,39,50,71,43,52,48,45,409
21605,葵区,駒形通五丁目,612,14,20,21,16,20,34,37,34,41,40,44,42,43,64,39,36,31,36,305
21606,葵区,駒形通六丁目,754,13,13,22,34,32,34,29,31,40,62,42,58,57,71,56,58,50,52,364
21610,葵区,双葉町,252,2,7,13,12,10,7,8,16,13,11,13,20,19,33,23,16,14,15,130
21621,葵区,川辺町一丁目,275,10,4,8,7,19,31,17,17,17,23,18,13,17,18,20,15,8,13,155
21622,葵区,川辺町二丁目,399,6,11,9,9,31,42,33,28,27,34,22,22,29,32,14,12,12,26,285
21630,葵区,天王町,254,6,4,10,10,32,30,13,14,23,13,18,13,10,13,14,9,10,12,166
21640,葵区,吉野町,517,11,10,19,19,34,47,41,32,45,47,46,27,24,33,20,29,17,16,298
21650,葵区,桜木町,119,2,1,1,2,1,5,9,7,4,8,11,8,10,8,8,12,9,13,70
21660,葵区,清閑町,481,7,13,18,20,36,25,19,27,32,42,23,34,42,50,27,24,17,25,236
21671,葵区,弥勒一丁目,261,4,9,9,10,6,6,10,10,17,20,18,21,19,25,17,29,13,18,108
21672,葵区,弥勒二丁目,552,17,19,15,19,24,25,26,28,37,36,29,38,44,52,47,26,28,42,280
21681,葵区,南安倍一丁目,387,14,14,16,11,9,22,24,22,43,25,22,23,37,29,25,18,12,21,193
21682,葵区,南安倍二丁目,230,11,2,7,15,10,11,15,15,18,18,8,17,11,27,14,12,10,9,99
21801,葵区,本通一丁目,63,0,1,1,2,1,6,6,4,6,6,6,7,5,4,1,4,2,1,49
21802,葵区,本通二丁目,102,1,4,2,5,3,4,3,4,10,5,9,8,7,10,9,6,3,9,57
21803,葵区,本通三丁目,156,11,7,4,1,8,9,12,13,11,12,12,9,9,5,11,10,8,4,79
21804,葵区,本通四丁目,70,0,0,5,1,3,5,3,2,3,8,4,6,2,6,9,6,4,3,32
21805,葵区,本通五丁目,106,0,0,1,2,11,19,9,5,7,7,7,9,4,0,4,12,6,3,70
21806,葵区,本通六丁目,217,7,4,6,8,10,7,9,10,17,20,18,9,26,14,18,13,10,11,112
21807,葵区,本通七丁目,347,2,7,7,12,28,32,12,13,13,17,33,33,19,30,22,26,22,19,175
21808,葵区,本通八丁目,188,9,3,8,7,7,15,15,9,15,9,13,10,18,12,9,9,6,14,84
21809,葵区,本通九丁目,144,3,1,0,10,10,7,3,3,5,13,9,10,14,16,6,11,12,11,61
21810,葵区,本通十丁目,222,11,4,3,9,12,15,10,11,12,17,20,17,14,20,12,12,14,9,90
21820,葵区,本通西町,99,1,2,3,4,6,5,6,3,6,2,10,6,14,10,3,4,7,7,52
21831,葵区,新通一丁目,731,26,16,23,19,27,30,47,32,48,59,55,50,45,67,48,49,42,48,367
21832,葵区,新通二丁目,239,4,5,6,16,14,12,6,2,16,22,21,25,20,16,16,14,14,10,105
21840,葵区,川越町,244,6,7,4,10,11,7,19,9,13,14,12,23,20,28,15,12,16,18,116
21850,葵区,屋形町,165,4,6,6,4,11,3,4,10,13,10,12,7,15,11,15,15,8,11,85
21860,葵区,大工町,128,3,2,3,7,4,8,7,5,5,7,7,5,9,18,7,9,8,14,58
21870,葵区,大鋸町,186,10,7,7,8,16,18,11,15,15,12,9,6,8,18,9,6,5,6,102
21880,葵区,通車町,287,9,8,8,13,10,9,12,21,20,21,14,16,28,25,25,14,18,16,118
21890,葵区,幸町,1050,26,38,37,31,38,48,45,59,71,57,67,85,88,94,66,64,63,73,502
22001,葵区,田町一丁目,1192,44,60,45,50,33,42,61,76,89,91,65,73,61,96,76,85,67,78,494
22002,葵区,田町二丁目,1367,49,68,65,59,55,57,63,72,88,99,85,91,86,103,91,84,73,79,566
22003,葵区,田町三丁目,1025,53,61,45,38,39,32,55,55,93,60,50,47,83,88,54,71,53,48,432
22004,葵区,田町四丁目,953,46,42,30,31,36,42,52,56,64,53,58,71,60,87,48,59,56,62,403
22005,葵区,田町五丁目,752,25,29,23,30,33,39,21,32,47,46,52,49,54,75,60,47,44,46,346
22006,葵区,田町六丁目,450,8,11,20,27,17,16,22,16,24,31,29,34,27,45,33,35,25,30,194
22007,葵区,田町七丁目,493,17,23,17,26,23,14,28,33,41,37,20,33,39,36,30,24,18,34,208
22010,葵区,南田町,206,5,7,4,11,10,9,9,10,15,17,10,15,12,19,13,23,10,7,80
22210,葵区,一番町,634,23,18,12,20,25,24,37,42,45,36,40,38,47,61,41,43,35,47,328
22220,葵区,二番町,779,42,25,33,35,21,39,45,57,63,64,55,45,51,63,37,39,31,34,363
22230,葵区,三番町,879,27,36,19,26,37,36,42,59,49,50,56,62,70,75,65,59,59,52,421
22240,葵区,四番町,382,7,16,8,9,15,23,21,24,21,20,13,29,21,51,27,23,23,31,206
22250,葵区,五番町,367,7,11,16,17,14,19,14,13,30,23,21,20,24,32,23,18,37,28,155
22260,葵区,六番町,319,10,8,15,8,21,12,15,21,25,21,17,18,27,41,25,12,10,13,141
22270,葵区,七番町,264,8,13,9,6,10,10,8,18,12,17,12,26,20,25,21,19,14,16,117
22280,葵区,八番町,292,8,8,13,8,12,4,13,16,18,20,19,16,31,27,29,15,13,22,130
22300,葵区,上新富町,184,3,1,5,4,6,2,4,10,15,9,16,10,9,22,15,23,13,17,95
22311,葵区,新富町一丁目,184,4,10,8,3,4,7,13,13,14,8,6,11,23,20,10,11,8,11,95
22312,葵区,新富町二丁目,308,4,12,13,15,9,12,15,13,15,20,25,16,25,32,21,15,20,26,124
22313,葵区,新富町三丁目,347,10,7,15,10,12,25,13,15,24,14,16,28,37,30,26,19,18,28,169
22314,葵区,新富町四丁目,228,4,6,7,14,9,4,11,11,15,15,15,10,20,24,14,18,15,16,109
22315,葵区,新富町五丁目,284,7,6,3,12,10,12,15,11,23,14,23,18,18,31,28,19,21,13,131
22316,葵区,新富町六丁目,217,11,6,7,6,11,10,20,17,16,8,16,11,9,25,11,14,11,8,100
22400,葵区,中町,52,1,0,0,3,2,6,7,3,1,3,2,5,2,6,2,3,3,3,36
22410,葵区,馬場町,650,10,14,22,29,29,37,22,41,48,52,54,53,45,54,49,25,32,34,342
22420,葵区,富士見町,56,1,0,1,2,3,1,1,3,5,3,1,5,5,5,6,7,4,3,25
22430,葵区,金座町,115,2,3,2,1,8,12,7,6,10,5,9,6,10,10,4,5,7,8,78
22440,葵区,研屋町,262,11,8,2,9,12,23,21,17,26,18,21,17,11,10,18,13,11,14,150
22450,葵区,錦町,206,4,4,8,4,8,12,17,9,7,12,12,14,17,30,9,9,15,15,104
22461,葵区,茶町一丁目,87,4,3,3,2,1,8,8,10,8,6,5,5,9,4,4,1,2,4,49
22462,葵区,茶町二丁目,99,8,2,3,6,4,9,7,8,9,7,8,7,1,3,7,6,3,1,52
22470,葵区,車町,188,3,2,6,5,11,18,12,8,13,15,7,14,12,12,12,11,10,17,113
22480,葵区,八千代町,635,19,20,11,21,32,26,34,31,42,31,40,45,57,82,41,32,33,38,321
22490,葵区,上桶屋町,83,5,0,0,3,3,11,15,7,1,8,4,5,4,2,2,2,5,6,46
22500,葵区,土太夫町,116,2,4,2,3,4,3,10,2,5,8,6,15,8,15,10,6,8,5,62
22510,葵区,柚木町,20,0,0,2,0,1,1,0,2,2,0,0,0,3,1,3,1,0,4,10
22520,葵区,葵町,213,2,4,12,8,7,13,11,11,9,17,15,10,14,18,14,20,14,14,104
22531,葵区,住吉町一丁目,158,6,7,5,6,13,9,7,9,11,7,8,11,16,16,8,5,6,8,79
22532,葵区,住吉町二丁目,227,9,4,2,12,13,13,13,11,9,13,22,15,6,17,15,14,10,29,124
22540,葵区,宮ヶ崎町,434,12,12,13,30,21,22,23,21,28,39,31,28,27,36,20,26,22,23,197
22550,葵区,安倍町,252,13,17,9,11,8,6,13,11,19,34,19,20,17,16,6,8,14,11,103
22560,葵区,片羽町,282,6,7,4,9,11,10,16,14,14,13,18,19,23,31,25,21,21,20,137
22571,葵区,安西一丁目,291,5,11,11,8,11,15,13,8,15,31,12,20,30,25,21,26,13,16,139
22572,葵区,安西二丁目,140,7,7,6,2,1,9,13,8,12,11,11,8,7,7,9,10,6,6,74
22573,葵区,安西三丁目,108,0,0,2,2,3,6,5,5,6,2,13,7,18,13,6,6,3,11,62
22574,葵区,安西四丁目,269,7,9,10,9,5,12,16,6,26,20,17,18,14,20,21,16,30,13,121
22575,葵区,安西五丁目,565,16,17,23,20,17,25,19,36,49,40,38,32,31,54,54,33,31,30,263
22580,葵区,北番町,737,23,38,30,28,33,24,34,45,55,48,36,59,46,57,46,43,46,46,341
22600,葵区,井宮町,1551,40,60,57,59,57,53,64,63,77,90,87,118,103,167,117,103,102,134,739
22610,葵区,材木町,164,5,9,4,3,6,8,8,6,13,10,7,10,9,18,14,6,12,16,80
22620,葵区,末広町,561,12,13,6,14,37,34,20,29,30,26,34,35,46,78,45,39,38,25,286
22630,葵区,神明町,1141,26,38,48,57,48,31,50,55,78,93,68,89,83,115,81,58,55,68,511
22640,葵区,若松町,1196,51,47,65,68,37,53,78,67,100,86,69,70,65,105,57,70,47,61,526
22650,葵区,柳町,2292,152,173,108,67,76,93,159,201,205,174,134,95,120,140,101,101,82,111,939
22660,葵区,水道町,899,25,22,30,41,35,43,61,37,66,55,69,68,75,71,61,46,39,55,429
22670,葵区,辰起町,785,30,31,43,44,30,32,39,50,51,61,62,51,46,62,40,50,42,21,355
22681,葵区,平和一丁目,1024,41,35,52,56,48,33,50,54,73,89,82,56,65,56,53,76,47,58,423
22682,葵区,平和二丁目,1387,39,42,47,62,55,62,63,60,91,101,100,92,92,106,83,122,102,68,621
22683,葵区,平和三丁目,1201,49,59,55,63,56,63,65,78,88,100,89,68,69,72,56,78,57,36,522
22690,葵区,籠上,1987,80,98,86,92,90,103,93,123,144,146,148,131,103,132,95,117,114,92,857
22700,葵区,美川町,774,13,20,23,18,32,24,28,43,49,43,57,65,68,93,74,48,35,41,409
22800,葵区,長谷町,213,8,9,13,13,3,4,7,17,8,17,12,15,7,17,15,19,14,15,97
22811,葵区,浅間町一丁目,225,6,7,13,6,6,6,14,8,16,18,12,12,13,27,21,14,9,17,98
22812,葵区,浅間町二丁目,299,14,26,15,14,12,7,22,16,33,16,15,10,27,22,13,12,8,17,120
22820,葵区,安東柳町,148,5,8,3,7,5,6,5,5,9,14,8,9,12,14,11,11,5,11,68
22830,葵区,丸山町,299,8,15,14,18,8,11,13,17,26,26,14,22,13,29,14,20,18,13,124
22840,葵区,大岩宮下町,157,13,7,6,7,6,7,12,12,8,19,5,8,5,13,8,7,5,9,65
22850,葵区,大岩本町,1593,65,96,75,61,75,59,74,105,115,116,91,94,99,120,85,86,70,107,701
22861,葵区,大岩一丁目,1043,55,58,70,73,57,44,46,62,69,112,89,68,59,48,29,35,40,29,387
22862,葵区,大岩二丁目,2165,87,107,112,101,105,98,121,113,154,163,159,164,109,121,100,105,128,118,920
22863,葵区,大岩三丁目,1752,46,84,103,97,82,68,89,108,140,139,118,118,113,126,97,85,69,70,736
22864,葵区,大岩四丁目,1595,68,73,85,92,56,61,104,104,128,125,109,92,74,123,95,81,71,54,688
22866,葵区,大岩町,1289,32,70,73,60,63,75,74,65,106,107,77,89,68,95,72,57,56,50,610
23001,葵区,安東一丁目,1586,68,76,76,76,57,67,88,107,111,129,105,73,101,121,91,92,62,86,722
23002,葵区,安東二丁目,2072,79,111,118,98,100,96,104,108,162,182,147,134,127,151,96,94,81,84,850
23003,葵区,安東三丁目,1844,89,111,110,96,82,73,80,119,168,155,132,131,98,86,81,61,87,85,776
23011,葵区,北安東一丁目,2164,63,103,107,150,98,97,78,122,160,202,177,140,111,135,110,114,109,88,902
23012,葵区,北安東二丁目,1984,83,82,119,136,102,88,103,111,156,175,164,117,108,113,85,74,90,78,819
23013,葵区,北安東三丁目,1882,93,105,100,100,97,89,103,125,142,172,138,129,90,125,92,72,64,46,767
23014,葵区,北安東四丁目,1561,52,72,85,68,79,55,65,95,103,130,111,112,82,106,92,93,89,72,663
23015,葵区,北安東五丁目,2571,99,93,127,152,137,122,155,149,151,170,192,143,169,177,140,148,116,131,1129
23020,葵区,城北,365,7,14,15,14,19,27,19,28,34,25,29,27,30,21,15,11,14,16,197
23022,葵区,城北二丁目,1248,41,44,61,53,58,53,68,86,83,76,76,75,78,100,92,84,67,53,551
23200,葵区,上足洗,24,0,2,1,2,2,1,2,0,2,1,2,3,1,1,2,0,2,0,12
23201,葵区,上足洗一丁目,1243,49,53,69,63,52,39,61,83,80,102,90,101,66,103,69,50,44,69,533
23202,葵区,上足洗二丁目,1452,92,82,61,73,57,63,96,96,93,99,83,95,91,104,60,67,56,84,607
23203,葵区,上足洗三丁目,1581,68,62,70,69,77,73,81,105,127,111,94,121,101,105,66,98,78,75,682
23204,葵区,上足洗四丁目,981,56,43,38,61,39,66,56,76,64,75,63,69,58,57,42,39,37,42,411
23210,葵区,千代田,47,0,0,0,4,4,1,0,1,2,3,5,4,6,2,5,1,6,3,21
23211,葵区,千代田一丁目,632,23,20,29,31,21,30,41,33,26,53,44,43,49,51,41,44,23,30,289
23212,葵区,千代田二丁目,1081,77,48,46,46,68,88,70,74,74,73,63,54,50,57,48,66,46,33,489
23213,葵区,千代田三丁目,650,27,23,43,28,28,23,38,33,42,52,56,45,25,36,37,40,33,41,274
23214,葵区,千代田四丁目,679,26,15,12,32,24,38,45,31,41,49,44,53,52,68,40,36,34,39,315
23215,葵区,千代田五丁目,1172,61,55,54,66,63,67,77,79,76,105,85,75,54,76,49,36,57,37,477
23216,葵区,千代田六丁目,1200,63,59,64,65,51,55,62,79,106,86,74,87,56,84,66,39,47,57,525
23217,葵区,千代田七丁目,897,43,46,41,44,45,48,46,62,83,88,65,52,51,77,32,35,22,17,379
23221,葵区,東千代田一丁目,1111,48,56,49,61,68,57,49,70,95,82,71,68,67,71,60,68,39,32,466
23222,葵区,東千代田二丁目,1174,44,32,31,54,49,39,60,49,79,76,77,45,61,103,85,115,109,66,615
23223,葵区,東千代田三丁目,338,26,21,13,19,26,35,28,30,40,22,18,15,13,12,6,9,3,2,156
